,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,team_x,home_code,team_y,away_code,scoreline
17987,1991-11-13,Cyprus,Russia,0,3,UEFA Euro qualification,Larnaca,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
18271,1992-06-14,Sweden,Denmark,1,0,UEFA Euro,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
21224,1996-08-14,Sweden,Denmark,0,1,Friendly,Gothenburg,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
21759,1997-03-29,Cyprus,Russia,1,1,FIFA World Cup qualification,Paralímni,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
22752,1998-05-28,Sweden,Denmark,3,0,Friendly,Malmö,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
26913,2003-02-12,Cyprus,Russia,0,1,Cyprus International Tournament,Limassol,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
31211,2007-09-08,Sweden,Denmark,0,0,UEFA Euro qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
32970,2009-06-06,Sweden,Denmark,0,1,FIFA World Cup qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
35814,2012-06-02,Poland,Andorra,4,0,Friendly,Warsaw,Poland,False,Poland,POL,Andorra,AND,POLAND
39283,2015-11-14,Sweden,Denmark,2,1,UEFA Euro qualification,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
41467,2018-06-02,Sweden,Denmark,0,0,Friendly,Solna,Sweden,False,Sweden,SWE,Denmark,DEN,SWEDEN
43018,2019-10-13,Cyprus,Russia,0,5,UEFA Euro qualification,Nicosia,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
43778,2021-03-28,Poland,Andorra,3,0,FIFA World Cup qualification,Warsaw,Poland,False,Poland,POL,Andorra,AND,POLAND
44303,2021-09-04,Cyprus,Russia,0,2,FIFA World Cup qualification,Nicosia,Cyprus,False,Cyprus,CYP,Russia,RUS,CYPRUS
